cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
exit_eot,new exit/EOT hub / generalist,cluster,cluster,selling-a-business-tax-cgt-badr,selling a business tax,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,CGT/BADR on exit. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,calculator,cluster,eot-tax-saving-calculator,eot tax calculator,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Tool.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-manufacturing-business,sell a manufacturing business,0,23940,1000,sell my business; business valuation; calculator for business valuation; business valuation calculator; how do i sell my business; how sell my business; sell my business uk; how to sell my business; how can i sell my business; business valuation methods; business valuation methodologies; business valuation method,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,cluster,supporting,ROUTE-mbo-and-acquisition-finance,mbo finance,0,90,1,management buyout finance,REG-CARE,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,REG-CARE: credit broking / arranging investments. Content + route to authorised partner only.
exit_eot,new exit/EOT hub / generalist,cluster,supporting,preparing-a-business-for-sale,preparing a business for sale,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-dental-practice-business,sell a dental practice business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-accountancy-business,sell a accountancy business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-recruitment-business,sell a recruitment business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-construction-business,sell a construction business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-ecommerce-business,sell a ecommerce business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-care-home-business,sell a care home business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
exit_eot,new exit/EOT hub / generalist,segment,segment,how-to-sell-a-law-firm-business,sell a law firm business,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Sector exit page; maps to estate audiences. Accountant cross-sell.
