cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,structures-and-buildings-allowance-sba,structures and buildings allowance,0,110,3,sba capital allowances; capital allowances for structures and buildings; claiming capital allowances for structures and buildings,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",3% SBA.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,capital-allowances-furnished-holiday-lets,capital allowances furnished holiday lets,210,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Note FHL regime abolished Apr 2026 — historic claims + transition.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,calculator,cluster,rd-tax-credit-calculator,r&d tax credit calculator,140,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Tool. Estimate benefit from qualifying spend.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-industrial-units,capital allowances industrial units,0,20,2,industrial buildings capital allowances; capital allowances industrial buildings,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-hotels,capital allowances hotels,10,10,1,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,supporting,HOLD-tax-investigation-fee-protection-insurance,tax investigation insurance,0,0,0,,REG-HOLD,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",REG-HOLD: IDD insurance. Map only; route to authorised broker.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-dental-practices,capital allowances dental practices,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-care-homes,capital allowances care homes,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-offices,capital allowances offices,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-gp-surgeries,capital allowances gp surgeries,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-hospitality,capital allowances hospitality,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-pubs-and-restaurants,capital allowances pubs and restaurants,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,segment,segment,capital-allowances-for-student-accommodation,capital allowances student accommodation,0,0,0,,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Sector capital-allowances page; maps to estate audience. Route to specialist.
