cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
business_finance,new business-finance hub / generalist,cluster,cluster,corporation-tax-loans,corporation tax loan,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Spread CT/tax bills.
business_finance,new business-finance hub / generalist,calculator,cluster,asset-finance-calculator,asset finance calculator,210,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Tool.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-manufacturing,invoice finance for manufacturing,10,85220,1543,corporate and asset finance; invoice finance; asset finance; invoice factoring finance; invoice finance factoring; invoice factoring financing; invoice factoring; factoring invoice; factoring an invoice; invoice financing factoring; simply asset finance; lloyds invoice finance login,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,cluster,supporting,recovery-and-growth-guarantee-scheme,growth guarantee scheme,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Govt-backed schemes.
business_finance,new business-finance hub / generalist,cluster,supporting,revolving-credit-facility,revolving credit facility,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-recruitment-agencies,invoice finance for recruitment agencies,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-construction,invoice finance for construction,10,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-wholesale,invoice finance for wholesale,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-haulage-and-transport,invoice finance for haulage and transport,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-ecommerce,invoice finance for ecommerce,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-dentists,invoice finance for dentists,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-hospitality,invoice finance for hospitality,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-cleaning-companies,invoice finance for cleaning companies,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
business_finance,new business-finance hub / generalist,segment,segment,invoice-finance-for-security-firms,invoice finance for security firms,0,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Sector finance page; leverages existing estate segment audiences. Company-gated.
