cluster,topic,primary,vol,action,internal_dupes
exit_eot,preparing-a-business-for-sale,preparing a business for sale,0,NEW,
exit_eot,how-to-sell-a-dental-practice-business,sell a dental practice business,0,"EXTEND @ dentalfinancepartners (ranks 'dental practice business insurance' 10i p11, 2q)",
exit_eot,how-to-sell-a-accountancy-business,sell a accountancy business,0,NEW,
exit_eot,how-to-sell-a-recruitment-business,sell a recruitment business,0,NEW,
exit_eot,how-to-sell-a-construction-business,sell a construction business,0,NEW,
exit_eot,how-to-sell-a-ecommerce-business,sell a ecommerce business,0,NEW,
exit_eot,how-to-sell-a-care-home-business,sell a care home business,0,NEW,
exit_eot,how-to-sell-a-law-firm-business,sell a law firm business,0,NEW,
landlord_commercial_finance,bridging-loans-guide,bridging loan,18100,NEW,
landlord_commercial_finance,development-finance-guide,development finance,1300,NEW,
landlord_commercial_finance,commercial-mortgages-guide,commercial mortgage,3600,NEW,
landlord_commercial_finance,commercial-mortgage-calculator,commercial mortgage calculator,3600,NEW,
landlord_commercial_finance,commercial-mortgage-rates,commercial mortgage rates,1600,NEW,
landlord_commercial_finance,bridging-loan-rates,bridging loan rates,880,NEW,
landlord_commercial_finance,bridging-loan-calculator,bridging loan calculator,4400,NEW,
landlord_commercial_finance,bridging-loan-lenders,bridging loan lenders,170,NEW,
landlord_commercial_finance,auction-finance,auction finance,480,NEW,
landlord_commercial_finance,semi-commercial-mortgages,semi commercial mortgage,480,NEW,
landlord_commercial_finance,development-exit-finance,development exit finance,880,NEW,
landlord_commercial_finance,refurbishment-and-brrr-finance,refurbishment finance,0,NEW,
landlord_commercial_finance,is-bridging-loan-interest-tax-deductible,is bridging loan interest tax deductible,0,NEW,
landlord_commercial_finance,development-finance-calculator,development finance calculator,210,NEW,
landlord_commercial_finance,bridging-finance-for-land-purchase,bridging loan for land purchase,0,NEW,
landlord_commercial_finance,bridging-finance-for-buy-to-let,bridging loan for buy to let,70,NEW,
landlord_commercial_finance,bridging-finance-for-commercial-property,bridging loan for commercial property,140,NEW,
landlord_commercial_finance,bridging-finance-for-auction-purchases,bridging loan for auction purchases,0,NEW,
landlord_commercial_finance,bridging-finance-for-refurbishment,bridging loan for refurbishment,10,NEW,
landlord_commercial_finance,bridging-finance-for-below-market-value,bridging loan for below market value,0,NEW,
landlord_commercial_finance,mezzanine-and-jv-finance,mezzanine finance,0,NEW,
landlord_commercial_finance,bridging-finance-for-chain-breaks,bridging loan for chain breaks,0,NEW,
landlord_commercial_finance,bridging-finance-for-hmo-conversions,bridging loan for hmo conversions,0,NEW,
landlord_commercial_finance,financing-a-property-development-tax,property development finance tax,0,NEW,
Dental practice finance,EXTEND: specialist-dental-finance (hub),dental practice finance,40,"EXTEND @ dentalfinancepartners (ranks 'dental practice finance uk' 7i p20.3, 4q)",
Dental practice finance,EXTEND: dental-practice-valuation,dental practice valuation,40,"EXTEND @ dentalfinancepartners (ranks 'dental practice valuation uk' 153i p19.7, 11q)",
Dental practice finance,EXTEND: goodwill-funding-practice-purchase,goodwill loan dental practice,0,"EXTEND @ dentalfinancepartners (ranks 'dental practice goodwill values' 25i p11.6, 2q)",
Dental practice finance,EXTEND: selling-a-dental-practice,selling a dental practice,90,"EXTEND @ dentalfinancepartners (ranks 'selling a dental practice taxes' 377i p14.9, 9q)",
Dental practice finance,dental-practice-commercial-mortgage,dental practice commercial mortgage,0,NEW,
Dental practice finance,dental-equipment-and-chair-finance,dental equipment finance,20,NEW,
Dental practice finance,squat-dental-practice-funding,squat dental practice finance,0,"EXTEND @ dentalfinancepartners (ranks 'dental practice finance uk' 7i p20.3, 4q)",
Dental practice finance,refinancing-a-dental-practice-loan,dental practice refinance,10,NEW,
Dental practice finance,second-dental-practice-expansion-finance,second dental practice finance,0,"EXTEND @ dentalfinancepartners (ranks 'dental practice finance uk' 7i p20.3, 4q)",
Dental practice finance,dental-practice-working-capital-and-tax-loans,dental practice working capital,0,NEW,
Dental practice finance,100-percent-dental-practice-finance,100% dental practice finance,0,"EXTEND @ dentalfinancepartners (ranks 'dental practice finance uk' 7i p20.3, 4q)",
Dental practice finance,how-to-buy-a-dental-practice,buy a dental practice,210,NEW,
Dental practice finance,HOLD: dentist-residential-mortgages,dentist mortgage,110,NEW,
Dental practice finance,HOLD: dentist-income-protection-locum-insurance,dentist income protection,90,NEW,
SPV/BTL mortgage,limited-company-buy-to-let-mortgages-guide,limited company buy to let mortgage,2400,"EXTEND @ propertytaxpartners (ranks 'uk limited company buy to let mortgage rates 2026' 12i p5, 6q)",
SPV/BTL mortgage,spv-mortgages-explained,spv mortgage,320,NEW,
SPV/BTL mortgage,portfolio-landlord-mortgages-guide,portfolio landlord mortgage,90,NEW,
SPV/BTL mortgage,buy-to-let-mortgage-calculator,buy to let mortgage calculator,22200,"EXTEND @ propertytaxpartners (ranks 'buy to let calculator' 41i p18.8, 8q)",
SPV/BTL mortgage,buy-to-let-rental-stress-test-calculator,buy to let stress test,20,NEW,
SPV/BTL mortgage,personal-vs-limited-company-btl-tax-calculator,limited company vs personal buy to let,0,NEW,
SPV/BTL mortgage,buy-to-let-mortgage-lenders,buy to let mortgage lenders,33100,NEW,
SPV/BTL mortgage,buy-to-let-mortgage-rates,buy to let mortgage rates,9900,NEW,
SPV/BTL mortgage,let-to-buy-mortgages,let to buy mortgage,1900,"EXTEND @ propertytaxpartners (ranks 'calculate buy to let mortgage' 29i p1, 5q)",
SPV/BTL mortgage,hmo-mortgages,hmo mortgage,880,NEW,
SPV/BTL mortgage,holiday-let-mortgages,holiday let mortgage,880,NEW,
SPV/BTL mortgage,expat-non-resident-landlord-mortgages,expat buy to let mortgage,110,NEW,
SPV/BTL mortgage,spv-mortgage-no-income-newly-formed,spv mortgage no income,0,NEW,
SPV/BTL mortgage,day-one-remortgage-limited-company,day one remortgage,30,NEW,
SPV/BTL mortgage,[SECTION not page] financing incorporation / re-mortgaging into your SPV,transfer property to limited company,480,NEW,
SPV/BTL mortgage,first-time-landlord-mortgage,first time landlord mortgage,30,NEW,
SPV/BTL mortgage,self-employed-buy-to-let-mortgage,buy to let mortgage self employed,90,NEW,
SPV/BTL mortgage,sic-code-for-an-spv-property-company,sic code for spv,0,NEW,
SPV/BTL mortgage,buy-to-let-mortgage-deposit-and-ltv,buy to let mortgage deposit,0,NEW,
