path,how,mentions,gsc_impr_90d,gsc_clicks_90d,gsc_pos,bing_impr,bing_clicks,bing_pos,owns_cluster
/blog/property-accountant-services/accounting-services-for-property-owners,body-5plus,22,170,0,18.9,0,0,,
/blog/landlord-tax-essentials/how-to-calculate-net-rental-income-after-all-costs-uk-guide,body-5plus,5,150,2,8.0,20,0,5,
/blog/landlord-tax-essentials/joint-tenants-vs-tenants-in-common-property-tax-consequences-uk-landlords,body-5plus,11,108,1,12.5,59,1,7,
/blog/incorporation-and-company-structures/gifting-property-to-adult-children-decision-tree-cgt-iht-occupancy-mechanics,slug/title,60,166,5,7.5,0,0,,
/blog/landlord-tax-essentials/unmarried-co-owners-property-tax-rental-income-split-actual-beneficial-share,body-5plus,31,166,2,8.9,0,0,,
/blog/incorporation-and-company-structures/a-complete-guide-to-family-investment-companies-fics,body-5plus,18,165,0,9.7,0,0,,
/blog/property-types-and-specialist-tax/end-of-the-furnished-holiday-letting-regime,body-5plus,16,155,1,10.1,0,0,,
/blog/portfolio-management/btl-investment-plymouth-cardiff-landlord-hotspots,body-5plus,17,153,1,15.6,0,0,,
/blog/capital-gains-tax/property-improvements-reduce-cgt-enhancement-expenditure,slug/title,48,0,0,0,152,3,5,
/blog/capital-gains-tax/cgt-property-transfer-limited-company-calculate,slug/title,60,149,1,6.7,0,0,,
/blog/incorporation-and-company-structures/mvl-members-voluntary-liquidation-property-company-cgt-vs-income-treatment,slug/title,18,148,4,9.8,0,0,,
/blog/landlord-tax-essentials/discovery-assessment-time-limits-landlord-tax-enquiries-tma-1970-s29,body-5plus,9,91,0,7.8,56,0,7,
/blog/landlord-tax-essentials/how-much-tax-rental-income-uk-complete-guide,body-5plus,9,121,0,10.2,24,0,7,
/blog/landlord-tax-essentials/landlord-tax-return-complete-guide-2026,body-5plus,23,28,0,8.6,113,0,6,
/blog/capital-gains-tax/inheriting-uk-rental-property-executors-step-by-step,body-5plus,44,139,3,10.1,0,0,,
/blog/landlord-tax-essentials/how-to-complete-landlord-self-assessment-filing-step-by-step-guide,body-5plus,23,84,1,16.8,54,2,6,
/blog/portfolio-management/property-investment-benchmarks-uk-2026-good-yield,body-5plus,13,66,0,6.8,69,2,6,
/blog/incorporation-and-company-structures/settlements-legislation-s624-s629-property-income-attribution-mechanics,body-5plus,24,117,1,7.6,18,0,6,
/blog/incorporation-and-company-structures/incorporating-property-portfolio-uk-2026,body-5plus,30,128,0,28.9,5,2,1,
/blog/portfolio-management/budgeting-voids-repairs-rental-cash-flow,body-5plus,5,127,1,6.6,0,0,,
/blog/capital-gains-tax/cgt-inherited-rental-property-calculation-uk,slug/title,85,115,1,7.1,9,1,3,cgt on property inherited
/blog/property-types-and-specialist-tax/a-complete-guide-to-stamp-duty-relief-for-probate-properties,body-5plus,10,123,3,8.9,0,0,,
/blog/non-resident-landlord-tax/returning-to-uk-after-non-residence-property-portfolio,body-5plus,27,122,9,9.1,0,0,,
/blog/non-resident-landlord-tax/non-resident-cgt-uk-property-rates-reporting,slug/title,100,77,0,10.1,44,0,7,
/blog/portfolio-management/refinancing-rental-property-when-does-it-make-financial-sense,body-5plus,15,116,2,12.1,1,0,2,
/blog/incorporation-and-company-structures/sdlt-divorce-separation-transfer-relief-schedule-3-paragraph-3-fa-2003,slug/title,44,117,1,7.5,0,0,,cgt hold over relief
/blog/incorporation-and-company-structures/tax-efficient-property-investment-structure-guide,body-5plus,7,114,0,39.4,2,0,6,
/blog/capital-gains-tax/cgt-calculation-selling-buy-to-let-property-step-by-step,slug/title,61,31,0,7.0,84,8,3,capital gains on rental property
/blog/capital-gains-tax/cgt-property-2027-rate-changes-uk-landlords,slug/title,98,110,4,6.9,4,0,42,
/blog/capital-gains-tax/cgt-selling-multiple-properties-same-year,slug/title,51,112,2,6.9,0,0,,
/blog/incorporation-and-company-structures/bare-trust-vs-nominee-company-vs-formal-trust-decision-property-investors,body-5plus,28,111,1,9.4,0,0,,
/blog/landlord-tax-essentials/how-long-does-probate-take-in-the-uk,body-5plus,12,108,0,16.1,0,0,,
/blog/non-resident-landlord-tax/temporary-repatriation-facility-trf-designation-mechanics-12-15-percent-rates,body-5plus,10,108,1,7.1,0,0,,
/blog/capital-gains-tax/cgt-property-transfer-spouse,slug/title,74,11,0,7,96,3,5,
/blog/property-accountant-services/coventry-property-accountant,body-5plus,19,106,1,13.2,0,0,,
/blog/landlord-tax-essentials/iht-gift-with-reservation-letting-children-paying-rent-mechanics,body-5plus,10,106,0,10.1,0,0,,
/blog/property-accountant-services/property-accountant-milton-keynes-landlord-guide,body-5plus,30,105,0,9.2,0,0,,
/blog/property-accountant-services/belfast-property-accountant-specialist-tax-services,body-5plus,17,104,4,19.6,0,0,,
/blog/portfolio-management/multi-property-landlord-tax-planning-strategies-5-plus-properties,body-5plus,22,102,0,13.2,0,0,,
/blog/non-resident-landlord-tax/uk-jersey-guernsey-isle-of-man-dtas-property-investors,body-5plus,24,97,2,9.7,5,1,6,
/blog/property-accountant-services/property-accountant-northampton-expert-services,body-5plus,12,101,0,25.7,0,0,,
/blog/landlord-tax-essentials/sdlt-buy-to-let-rates-surcharge-guide-2025,body-5plus,5,87,0,7.1,14,0,7,
/blog/non-resident-landlord-tax/non-resident-landlords-uk-inheritance-tax-exposure,body-5plus,9,100,4,7.3,0,0,,
/blog/capital-gains-tax/cgt-record-keeping-property-sales-what-to-save-how-long,slug/title,48,99,1,7.6,0,0,,
/blog/capital-gains-tax/temporary-non-residence-5-year-cgt-recapture-property,slug/title,48,99,3,8.3,0,0,,
/blog/non-resident-landlord-tax/cgt-rebasing-election-fa-2025-schedule-11-narrow-eligibility-non-doms,slug/title,32,98,0,6.2,0,0,,
/blog/non-resident-landlord-tax/nrl-withholding-tax-20-percent-basic-rate-deduction,body-5plus,12,67,0,8.1,31,1,5,
/blog/capital-gains-tax/cgt-selling-buy-to-let-property-calculation-guide,slug/title,44,74,1,23.5,20,1,4,
/blog/incorporation-and-company-structures/limited-company-vs-personal-ownership-tax-comparison-2026,body-5plus,19,91,0,3.7,0,0,,
/blog/non-resident-landlord-tax/trf-qualifying-overseas-capital-what-can-be-designated-non-doms,body-5plus,7,91,4,8.5,0,0,,
/blog/property-types-and-specialist-tax/transactions-in-uk-land-cta-2010-part-8zb-ita-2007-part-9a-four-conditions-test,body-5plus,17,89,0,7.2,0,0,,
/blog/property-types-and-specialist-tax/airbnb-tax-uk-short-term-rental-income-taxed,body-5plus,29,0,0,0,88,1,5,
/blog/property-accountant-services/property-accountant-bournemouth-landlords-tax-services,body-5plus,18,88,0,23.7,0,0,,
/blog/property-accountant-services/what-does-a-property-accountant-do,body-5plus,36,86,1,16.4,0,0,,
/blog/incorporation-and-company-structures/partnership-partnership-agreement-roles-types-benefits,body-5plus,9,84,0,8.6,0,0,,
/blog/incorporation-and-company-structures/immediate-post-death-interest-ipdi-rental-property-tax-iht-1984-s49a,body-5plus,23,83,0,7.7,0,0,,
/blog/non-resident-landlord-tax/non-resident-cgt-selling-uk-property-overseas-guide,slug/title,52,14,0,7.8,67,1,6,
/blog/landlord-tax-essentials/putting-a-rental-property-into-a-trust,body-5plus,44,80,0,13.5,1,1,4,
/blog/incorporation-and-company-structures/pre-sale-extraction-strip-cash-before-spv-share-sale-vs-buyer-discount,body-5plus,23,80,2,9.0,0,0,,
/blog/incorporation-and-company-structures/trust-registration-service-trs-compliance-trust-owned-btl-mlr-2017,body-5plus,9,80,1,9.2,0,0,,
/blog/landlord-tax-essentials/abolition-of-furnished-holiday-lettings-fhl-what-individual-owners-needs-to-know,body-5plus,22,36,0,8.0,43,3,6,
/blog/incorporation-and-company-structures/companies-house-changes-limited-partnership-requirements,body-5plus,5,79,0,10.2,0,0,,
/blog/property-accountant-services/liverpool-property-accountant-tax-services-landlords,body-5plus,23,78,1,16.3,0,0,,
/blog/property-accountant-services/property-accountant-preston-expert-tax-services-local-landlords,body-5plus,11,78,0,8.0,0,0,,
/blog/non-resident-landlord-tax/double-taxation-convention-dta-uk-and-spain,body-5plus,30,77,0,8.3,0,0,,
/blog/incorporation-and-company-structures/fic-growth-shares-and-freezer-shares-design,body-5plus,10,76,1,10.5,0,0,,
/blog/property-types-and-specialist-tax/remittance-basis-tax-insights-for-non-domiciled-individuals,body-5plus,18,39,0,8.3,37,1,7,
/blog/section-24-and-tax-relief/rental-income-tax-uk-complete-guide-landlords,body-5plus,11,15,0,26.5,60,0,7,
/blog/property-types-and-specialist-tax/lease-extension-vs-freehold-purchase,body-5plus,11,74,0,8.9,0,0,,
/blog/property-accountant-services/property-accountant-salary-complete-guide,body-5plus,18,74,0,9.3,0,0,,
/blog/property-accountant-services/property-accountant-warrington-landlord-services-2026,body-5plus,17,73,0,34.6,0,0,,
/blog/non-resident-landlord-tax/split-year-treatment-cases-1-8-landlord-departure-arrival,body-5plus,11,73,0,7.3,0,0,,
/blog/property-types-and-specialist-tax/structures-and-buildings-allowance-sba-3-percent-claim-mechanics-fa-2018-onward,body-5plus,22,72,0,7.5,0,0,,
/blog/property-types-and-specialist-tax/free-rental-valuation,body-5plus,9,71,0,7.6,0,0,,
/blog/landlord-tax-essentials/landlord-tax-changes-2026-complete-guide,body-5plus,21,69,0,20.4,2,0,6,
/blog/landlord-tax-essentials/jointly-owned-property,body-5plus,14,68,0,11.9,0,0,,
/blog/property-types-and-specialist-tax/residency-and-domicile,slug/title,21,68,0,8.6,0,0,,
/blog/landlord-tax-essentials/claim-home-office-deduction-landlords,slug/title,34,67,2,7.3,0,0,,
/blog/incorporation-and-company-structures/extracting-money-from-property-limited-company,body-5plus,5,66,2,6.8,0,0,,
/blog/incorporation-and-company-structures/settlor-interested-property-trust-grob-interaction-double-trap-mechanics,body-5plus,28,66,2,8.1,0,0,,
/blog/landlord-tax-essentials/2027-property-income-tax-rates-landlords-uk,body-5plus,8,52,0,7.5,13,1,5,
/blog/incorporation-and-company-structures/corporation-tax-vs-income-tax-landlords-2027,body-5plus,23,64,0,54.8,0,0,,
/blog/incorporation-and-company-structures/section-162-incorporation-relief-property-landlords,body-5plus,32,63,1,12.8,0,0,,
/blog/landlord-tax-essentials/decent-homes-standard-prs-landlord-compliance-checklist,body-5plus,5,62,0,7.1,0,0,,
/blog/property-accountant-services/why-southampton-landlords-need-property-accountant,body-5plus,8,61,0,24.2,0,0,,
/blog/property-types-and-specialist-tax/annual-tax-on-enveloped-dwellings-pro-and-cons,body-5plus,17,60,3,17.8,0,0,,
/blog/landlord-tax-essentials/btl-mortgage,body-5plus,10,6,0,40.8,54,3,3,
/blog/capital-gains-tax/business-asset-disposal-relief-residential-property-qualification,body-5plus,28,60,1,7.0,0,0,,
/blog/portfolio-management/how-to-value-rental-property-portfolio-tax-purposes,body-5plus,39,60,0,56.5,0,0,,
/blog/incorporation-and-company-structures/residential-property-developer-tax-uk,body-5plus,9,49,0,29.9,11,0,5,
/blog/section-24-and-tax-relief/section-24-mortgage-interest-restriction-uk-landlords,body-5plus,7,1,0,4,59,0,6,
/calculators/capital-gains-tax-calculator,slug/title,22,51,0,9.7,9,0,6,capital gains tax calculator + capital gains tax on shares calculator + uk capital gains tax calculator + capital gains tax how much + how much capital gain
/blog/property-accountant-services/peterborough-property-accountant-specialist-tax-services,body-5plus,15,59,0,23.3,0,0,,
/blog/property-accountant-services/property-accountant-glasgow,body-5plus,25,59,0,9.7,0,0,,
/blog/property-accountant-services/why-cardiff-landlords-need-specialist-property-accountant-2026,body-5plus,15,59,0,23,0,0,,
/blog/portfolio-management/portfolio-landlord-tax-planning-strategy-guide,body-5plus,22,58,0,10.7,0,0,,
/blog/capital-gains-tax/gifting-property-and-deed-of-gift-tax-implications,body-5plus,44,55,0,14.8,0,0,,
/blog/section-24-and-tax-relief/section-24-vs-incorporation-which-saves-more-tax,body-5plus,16,55,0,8.6,0,0,,
/blog/landlord-tax-essentials/are-rent-arrears-skyrocketing-and-squeezing-landlords,body-5plus,7,54,0,9.1,0,0,,
/blog/non-resident-landlord-tax/arriving-in-the-uk,body-5plus,27,54,1,7.8,0,0,,
/blog/property-types-and-specialist-tax/avoiding-common-mistakes-with-enveloped-dwelling-tax,body-5plus,15,53,0,8.4,0,0,,
/blog/landlord-tax-essentials/iht-clt-property-discretionary-trust-20-percent-entry-charge,body-5plus,59,53,0,9.2,0,0,,
/blog/property-accountant-services/property-accountant-edinburgh-landlord-tax-services,body-5plus,12,53,1,10.9,0,0,,
/blog/non-resident-landlord-tax/tax-treaties-property-investors-treaty-framework-guide,body-5plus,12,53,0,9.6,0,0,,
/blog/incorporation-and-company-structures/grob-s102-family-home-shared-occupation-s102b-uk-mechanics,body-5plus,14,52,0,7.0,0,0,,
/blog/landlord-tax-essentials/record-retention-discipline-voluntary-disclosure-failure-to-notify-landlords,body-5plus,14,50,0,10.0,2,0,5,
/blog/non-resident-landlord-tax/uk-india-dta-property-rental-income-treatment,body-5plus,14,52,1,7.7,0,0,,
/blog/property-accountant-services/why-luton-landlords-need-specialist-property-accountant-2026,body-5plus,15,52,0,31.1,0,0,,
/blog/incorporation-and-company-structures/condition-c-trading-stock-section-162-incorporation-relief-denial-developers,body-5plus,16,51,0,7.6,0,0,,
/blog/landlord-tax-essentials/declaration-of-trust,body-5plus,21,51,0,41.5,0,0,,
/blog/capital-gains-tax/hmrcs-nudge-letters-demand-urgent-review-of-gift-hold-over-relief-claim,body-5plus,10,51,0,7,0,0,,capital gains holdover relief
/blog/incorporation-and-company-structures/fic-complete-guide-property-wealth-transfer,body-5plus,11,49,0,14,0,0,,
/blog/incorporation-and-company-structures/landlord-incorporation-step-by-step-guide-uk,body-5plus,30,48,0,74.6,1,0,12,
/blog/property-accountant-services/property-accountant-middlesbrough-specialist-tax-services,body-5plus,18,49,1,19.3,0,0,,
/blog/landlord-tax-essentials/epc-improvement-grant-schemes-landlords-eco4-bus-gbis,body-5plus,14,48,0,11.2,0,0,,
/blog/incorporation-and-company-structures/sipp-ssas-commercial-property-purchase-mechanics-landlord-pension-fund,body-5plus,12,48,0,8.3,0,0,,
/blog/portfolio-management/when-to-sell-rental-property-key-indicators-landlords,body-5plus,17,48,1,10.1,0,0,,
/blog/non-resident-landlord-tax/fig-regime-qualifying-new-resident-10-year-non-residence-test-landlords,body-5plus,9,47,0,7.2,0,0,,
/blog/non-resident-landlord-tax/uk-us-dta-property-tax-implications-landlords,body-5plus,16,47,0,6.9,0,0,,
/blog/property-accountant-services/property-accountant-bath-expert-tax-services-local-landlords,body-5plus,21,46,1,16.1,0,0,,
/blog/incorporation-and-company-structures/property-partnership-trading-investment-jv-developer-structures-sch-15-sdlt-interaction,body-5plus,7,46,0,9.2,0,0,,
/blog/property-types-and-specialist-tax/ated-relief-for-related-persons-and-market-rent-a-complete-guide,body-5plus,9,45,0,7.0,0,0,,
/blog/property-types-and-specialist-tax/indirect-disposals-property-rich-entities-section-356od-section-517d-slice-action,body-5plus,6,45,0,7.4,0,0,,
/blog/landlord-tax-essentials/property-investment-vs-stocks-shares-tax-comparison,body-5plus,53,45,0,5.9,0,0,,
/blog/incorporation-and-company-structures/when-does-property-holding-company-structure-make-sense-uk-landlords,body-5plus,20,45,0,12.0,0,0,,
/blog/property-finance/day-one-remortgage-limited-company,body-5plus,7,44,1,6.5,0,0,,
/blog/landlord-tax-essentials/iht-lifetime-gifts-7-year-rule-property-taper,body-5plus,22,28,0,8.3,15,0,7,taper relief capital gains
/blog/landlord-tax-essentials/maximising-business-relief-to-reduce-inheritance-tax,body-5plus,9,43,0,7.7,0,0,,
/blog/incorporation-and-company-structures/types-of-property-company-structure-uk-guide,body-5plus,13,0,0,0,43,0,5,
/blog/non-resident-landlord-tax/uk-uae-dta-property-no-tax-jurisdiction-asymmetry,body-5plus,18,43,0,7.2,0,0,,
/blog/section-24-and-tax-relief/buy-to-let-refinancing-when-does-it-make-sense,body-5plus,15,42,3,5.1,0,0,,
/blog/landlord-tax-essentials/section-21-abolition-uk-landlord-possession-guide-2026,body-5plus,5,41,0,6.9,0,0,,
/blog/property-accountant-services/sunderland-property-accountant-specialist-tax-services,body-5plus,14,41,1,11.4,0,0,,
/blog/landlord-tax-essentials/capital-vs-revenue-expenditure-landlord-uk,body-5plus,28,7,0,9,33,1,5,
/blog/incorporation-and-company-structures/directors-of-trust-owned-spv-extraction-rules-settlor-interested-trap,body-5plus,19,40,1,6.4,0,0,,
/blog/property-accountant-services/portsmouth-property-accountant-landlord-tax-services,body-5plus,8,39,0,21.6,0,0,,
/blog/landlord-tax-essentials/pre-letting-expenses-landlord-claim-before-first-tenant,body-5plus,6,39,0,3.7,0,0,,
/blog/property-types-and-specialist-tax/a-short-guide-planning-permission-in-uk,body-5plus,5,38,1,9.3,0,0,,
/blog/incorporation-and-company-structures/family-investment-company-property-worth-it,body-5plus,23,37,0,5.4,0,0,,
/blog/landlord-tax-essentials/making-a-disclosure-using-the-worldwide-disclosure-facility,body-5plus,6,37,0,10.9,0,0,,
/blog/portfolio-management/buy-to-let-market-sees-record-high-returns,body-5plus,21,36,0,9.4,0,0,,
/blog/property-accountant-services/exeter-property-accountant-specialist-tax-services,body-5plus,13,36,0,12.2,0,0,,
/blog/property-types-and-specialist-tax/fhl-capital-allowances-post-april-2025-grandfathered-claims-mechanics,body-5plus,23,36,0,7.8,0,0,,
/blog/non-resident-landlord-tax/fig-election-mechanics-per-year-claim-personal-allowance-cgt-aea-cost,slug/title,16,36,0,6.4,0,0,,
/blog/non-resident-landlord-tax/uk-property-income-expats-tax-obligations-explained,body-5plus,11,30,0,17.1,6,0,6,
/blog/landlord-tax-essentials/civil-partnerships-joint-property-ownership-tax-treatment-form-17-equality,slug/title,23,34,0,10.2,0,0,,
/blog/property-accountant-services/derby-property-accountant-specialist-tax-services-local-landlords,body-5plus,25,34,1,24.6,0,0,,
/blog/property-types-and-specialist-tax/section-24-commercial-property-complete-guide,body-5plus,12,34,1,5.8,0,0,,
/blog/property-types-and-specialist-tax/capital-allowances-property-investors-complete-pillar-2026-27-caa-2001-decision-framework,body-5plus,9,26,1,7.5,7,0,8,
