unit_id,verdict,slug,cluster,dominant_query,query_variants,volume_if_any,priority,questions_answered,notes
U18,EXTEND,sdlt-incorporation-stamp-duty-twice,transfer-in,stamp duty on property incorporation uk,do i pay stamp duty twice on incorporation|sdlt and business incorporations 3 year trap|stamp duty when moving property into a company|is there sdlt relief on incorporation|partnership route to avoid sdlt on incorporation,"300 impressions, pos 50.3, 0 clicks",P1,5,"FULL REWRITE candidate. The seam vs U15 must be enforced in the rewrite: U15 = the CHARGE on a connected-party transfer; U18 = the DOUBLE-CHARGE and relief question on incorporating a business. Adjacent, and the highest cannibalisation risk in this map."
U19,EXTEND,incorporating-property-portfolio-uk-2026,transfer-in,incorporating a property portfolio step by step,step by step portfolio incorporation 2026|what order do i incorporate properties in|incorporation process timeline uk landlord,-,P2,3,"Sibling of U17 and ALREADY a live cannibalisation seam. Rewrite to separate them: U19 = the linear step-by-step for a full incorporation; U17 = the PHASED or partial-portfolio strategy. Never merge, never redirect."
U20,EXTEND,incorporate-rental-property-without-cgt,transfer-in,property incorporation capital gains tax,cgt on transfer of property to limited company|transferring property to limited company cgt|how to avoid capital gains tax transferring to a company|does incorporation relief apply to landlords|section 162 relief property business test,"140 impressions, pos 70.3 (query currently mis-assigned to U16)",P1,5,"Our data shows 'property incorporation capital gains tax' landing on the TRANSFER page at pos 70.3. That query belongs here, with section-162-incorporation-relief-property-landlords behind it. Rewrite to claim it and cross-link so the two CGT pages split cleanly: this = the outcome, s162 page = the statutory test."
U21,NEW,transfer-property-to-limited-company-conveyancing,transfer-in,transfer property to limited company solicitors,limited company buy to let conveyancing|who does the legal work transferring property to my company|do i need lender consent to transfer to a limited company|costs of transferring property to limited company solicitor valuation fees|how long does it take to transfer a property into a company|do i need a new title at land registry,"84 impressions on the fee phrasing (Bing, pos 3.9)",P2,6,"PROCESS and PROFESSIONAL-FEES page, deliberately NOT tax. Seam vs U15/U16: those own the tax charge and the tax how-to; this owns solicitor, lender consent, valuation, Land Registry, timeline. Hard rule for the writer: summarise SDLT/CGT in two to four sentences and link up."
U22,COVERED,partnership-sdlt-relief-schedule-15-fa-2003-incorporation-sum-lower-proportions,transfer-in,transfer of property from partnership to limited company sdlt,-,-,-,0,Owns the partnership and SLP route.
U23,EXTEND,sdlt-group-relief-for-corporate-landlord-portfolios,transfer-in,transfer property between limited companies,moving a property from one of my companies to another|intra-group property transfer sdlt|sdlt group relief clawback|transfer property to a holding company,-,P3,2,"ADD an opening H2 answering the plain-language 'transfer property between limited companies' phrasing, which currently has no landing point."
U24,NEW,transfer-property-out-of-limited-company-to-personal-name,transfer-in,can i transfer property from limited company to individual,how to take a property out of my limited company|distribution in specie of property to a director|company sell property to director|can i sell my company property to myself|what tax do i pay taking a property out of a company|sdlt on transferring property from company to shareholder,-,P2,7,"Genuine gap: the whole corpus assumes transfer IN. transferring-a-business-out-of-a-company is a business-transfer frame, not a single-property extraction. Covers s.455, distribution in specie, SDLT on assumed debt, CGT/CT on the company disposal."
U26,COVERED,property-company-running-costs-annual-budget,run-the-company,spv running costs,-,-,-,0,Owns the annual run rate. U03 owns the year-one setup cost. Enforce the seam.
U27,NEW,limited-company-buy-to-let-allowable-expenses,run-the-company,limited company buy to let allowable expenses,limited company buy to let expenses|what can i claim through my property company|limited company rental property capital allowances|are mortgage interest costs fully deductible in a company|can i pay myself a management fee from my spv|are formation costs tax deductible|what expenses can an spv claim,"no measured volume, dense question tail",P1,8,"Real gap. Every existing expense page on disk is INDIVIDUAL-landlord-side. The company side (full finance-cost deduction, pre-trading expenditure s.61 CTA 2009, capital allowances, director costs) has no host. High commercial relevance and it is the natural post-formation second visit."
U28,EXTEND,landlord-insurance-guide-types-costs-tax-deductible,run-the-company,landlord insurance for a limited company,landlord building insurance for limited company|limited company buy to let insurance|does my policy need to be in the company name|will my insurer cover an spv-owned property|limited company landlord insurance reviews,-,P3,5,"EXTEND not NEW: one SPV section on the existing insurance guide. Not enough distinct intent for a page, and a new page would sit directly on top of it."
U29,NEW,director-living-in-property-owned-by-limited-company,run-the-company,can i live in a house owned by my limited company,can i rent a flat through my limited company|can i live in a buy to let owned by my company|benefit in kind on company-owned accommodation|does ated apply if i live in the property|can my company buy the house i live in|can my family live in a company property,-,P2,6,"Gap. Living-accommodation BIK (ITEPA ss.97-105), ATED and the relief clawback, mortgage and lease breach. Existing ATED clawback pages own only the ATED slice; cross-link, do not repeat."
U30,COVERED,charging-market-rent-to-own-property-company-tax-treatment,run-the-company,can i rent my property to my limited company,-,-,-,0,Ranks pos 7.0 on a connected-party query in our GSC. Protected.
U31,COVERED,extracting-money-from-property-limited-company,run-the-company,best way to take money out of a limited company,spv dividend|spv directors loan|most tax efficient way to take money out of a limited company|how to take money out of a limited company tax free,-,-,17,"Extraction is the deepest existing cluster on the site (salary-vs-dividends-property-spv, director-loan-account-property-company-mechanics, extracting-cash-from-property-spv-extraction-sequence-pillar, multi-company-group-extraction, pre-sale-extraction). Nothing new. All 17 deduped extraction questions land on existing pages."
U32,NEW,landlord-registration-limited-company-scotland-wales,run-the-company,landlord registration scotland limited company,landlord registration limited company|rent smart wales limited company|who registers when the owner is a company|does the director or the company register as landlord|selective licence in a company name,-,P3,5,Small but genuinely unhosted: every existing licensing page assumes an individual landlord. The devolved registers treat a corporate owner differently.
U33,COVERED,property-company-accounting-requirements-hmrc-expectations,run-the-company,spv accounting,-,-,-,0,Plus accountant-corporation-tax-property-companies.
U34,NEW,how-to-close-a-property-limited-company,selling-closing,closing a limited company,how to close down a property company|application to strike off a company|ds01 strike off property company|do i need an mvl to close my spv|what happens to the property when i close the company|closing a limited company tax|can i just make my spv dormant instead,"2400 (closing a limited company), 110 (strike off application)",P1,8,"Largest genuinely-uncovered head term in the map. Seam: mvl-members-voluntary-liquidation-property-company owns the CGT-vs-income analysis of the FINAL DISTRIBUTION; file-dormant-accounts owns dormancy. This page owns ROUTE CHOICE (dormant / DS01 strike-off / MVL) plus DS01 mechanics and the s.1030A CTA 2010 (s.1030B charges the excess as income; verified legislation.gov.uk 2026-09-01) GBP 25,000 limit. The writer must not re-argue the MVL tax maths."
U35,NEW,selling-a-property-spv-share-sale-vs-asset-sale,selling-closing,selling an spv,sale of spv|property spv for sale|sell the company or sell the property|share sale vs asset sale property company|sale of property rich company|what discount will a buyer want for latent cgt|spv sale stamp duty,-,P2,7,"Gap at the decision level. substantial-shareholding-exemption and pre-sale-extraction own technical slices; nothing owns the seller share-vs-asset choice (0.5% stamp taxes vs 5% SDLT, latent-gain discount, an honest SSE reality check for an investment company)."
U36,RESERVED,sdlt-transfer-property-company-cost + how-to-transfer-property-into-limited-company-uk,selling-closing,can i sell my house to my limited company,can i sell my property to my company|selling house to my own limited company|can i sell my personal property to my company|can i sell my house to my holding company,-,-,13,TRAP. 13 deduped 'sell to my own company' questions are the TRANSFER-IN intent wearing a sale verb. They belong on U15/U16 as an FAQ block. NO page may be built on this phrasing.
U38,COVERED,property-investment-company-structure-planning,ownership-structures,spv vs holding company,is spv a holding company|can an spv be a holding company|spv vs investment holding company,-,-,0,Plus when-does-property-holding-company-structure-make-sense-uk-landlords and types-of-property-company-structure-uk-guide. Saturated.
U39,COVERED,how-to-choose-right-property-company-structure-uk-landlords-2026,ownership-structures,property company structure,-,-,-,0,Saturated.
U40,NEW,property-joint-venture-spv-structure-uk,ownership-structures,spv joint venture,joint venture vs spv|spv jv|spv joint venture agreement|how do two investors share a property company|jv property deal structure uk|what goes in a property jv shareholders agreement|profit split in a property spv,-,P2,7,"Gap. mezzanine-and-jv-finance owns JV FINANCE; property-partnership-trading-investment-jv-developer-structures owns the SDLT Sch 15 technicals. Neither owns the JV SPV as a structure (share classes, deadlock, exit, who is a PSC)."
U41,COVERED,a-guide-for-shareholders-in-the-uk,ownership-structures,can spv issue shares,-,-,-,0,Plus alphabet-shares-property-spv-dividend-splitting-spouse-children.
U42,COVERED,bare-trust-vs-nominee-company-vs-formal-trust-decision-property-investors,ownership-structures,is a trust an spv,-,-,-,0,Covered.
U43,EXTEND,non-resident-landlord-scheme-uk-complete-guide,non-resident,non resident landlord scheme for companies,non resident landlord company|non resident landlord company corporation tax|register non resident landlord for corporation tax|how to register as a non resident landlord|non resident landlord application for company|non resident landlord number,90 (non resident landlord tax),P2,10,"ADD the COMPANY path (NRL4/NRL6, and the 6 April 2020 move from income tax to corporation tax) as an explicit section. changes-nrl-companies already covers the 2020 transition, so cross-link rather than duplicate."
U44,NEW,offshore-company-owning-uk-property,non-resident,can an offshore company buy property in uk,overseas company holding uk property|offshore company owning uk property|uk property owned by offshore company|offshore company selling uk residential property|should i buy uk property through an offshore company|is an offshore property company still worth it,no measured volume; 8 GSC queries / 162 impressions in our data,P2,11,"THE ONE non-resident hub page the brief allows. Existing coverage is fragmented across ATED (20+ pages), Register of Overseas Entities, NRCGT indirect disposal and the DTA set, and no page answers the plain question. Build it as a router: verdict up top, then link out. Do not re-explain ATED bands."
U45,RESERVED,spv-mortgages-explained,mortgages-track-b,spv mortgages,spv company mortgages|best spv mortgage rates|barclays spv mortgage|how do limited company buy to let mortgages work|limited company buy to let personal guarantee,-,-,0,"Track B built. If the personal-guarantee angle is missing from the page it is an EXTEND of this page, never a new page."
U46,RESERVED,buy-to-let-limited-company-mortgage-options,mortgages-track-b,limited company buy to let mortgage,ltd company buy to let mortgage|limited company mortgage rates|btl mortgages for limited companies|limited company buy-to-let mortgages comparison,2400,-,0,"Track B built, with buy-to-let-limited-company-mortgage-rates-2026-market-guide. Highest-volume term in the whole SPV-specific corpus. Our data: mortgages-in-company converts at roughly 27% clicks/impressions, the best ratio of any bucket."
U47,RESERVED,spv-mortgage-no-income-newly-formed,mortgages-track-b,spv mortgage no income,new spv company mortgage|will a lender lend to a company with no trading history,-,-,0,Track B built.
U48,RESERVED,day-one-remortgage-limited-company,mortgages-track-b,day one remortgage limited company,-,-,-,0,Track B built.
U49,RESERVED,buy-to-let-mortgages-guide,mortgages-track-b,buy to let mortgage,buy to let mortgage how much deposit|portfolio landlord mortgages|expat non resident landlord mortgages,27100,-,0,"Track B built, with portfolio-landlord-mortgages-guide and expat-non-resident-landlord-mortgages. The pillar links across, never competes."
C1,EXTEND,/calculators/incorporation-cost-calculator,calculators,limited company vs personal buy to let calculator,incorporate vs personal comparison|is it worth incorporating my buy to let calculator|incorporation break even calculator|cost of transferring property to limited company calculator,-,P1,0,"ALREADY DOES incorporate-vs-personal plus CGT, SDLT, an s162 toggle, extract/retain and break-even. It covers three of the five proposed calculators. ADD: a professional-fees line (solicitor, valuation, lender) so it answers the total-cost-to-transfer query set, and a running-cost line."
C2,EXTEND,/calculators/stamp-duty-calculator,calculators,stamp duty calculator limited company,ltd company stamp duty calculator|limited company buy to let stamp duty calculator|spv company stamp duty calculator|buy to let stamp duty calculator limited company gov uk,1000,P1,0,"Already applies the 5% additional-dwelling surcharge to company purchases. ADD an explicit company / connected-party mode (market-value rule, s.53 FA 2003) and the six-dwellings automatic non-residential deeming flag (s.116(7) FA 2003, automatic, NOT an election; Sch 6B was MDR, abolished 1 Jun 2024). 1,000/mo on the company phrasing alone, and the highest-intent entry point in the transfer cluster."
C3,NEW,/calculators/property-company-extraction-calculator,calculators,most tax efficient way to take money out of a limited company,salary vs dividends property company calculator|how much can i take out of my spv|dividend tax calculator 2026/27 property company|director loan vs dividend calculator,320 (tax on dividends from limited company),P2,0,Genuinely new. The deepest blog cluster on the site with no tool attached. 2026/27 dividend rates (10.75 / 35.75 / 39.35) are already ground truth in memory.
C4,EXTEND,/calculators/incorporation-cost-calculator,calculators,spv running costs calculator,how much does an spv cost to run per year|annual cost of a property limited company,-,P3,0,Do NOT build a standalone SPV running-cost calculator. Add it as a line item in C1 first and see whether it earns its own tool.
