query,source_engine,site,impressions,clicks,avg_position,bucket,top_page
gov.uk company accounting records keep 6 years limited company,gsc,generalist,2,0,11.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/bookkeeping-records-limited-company-6-years
spv codes,gsc,property,2,0,9.5,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
what is an spv limited company,gsc,property,2,0,71.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
sole trader versus limited company calculator,gsc,generalist,2,0,55.5,other/general SPV,https://www.hollowaydavies.co.uk/calculators/sole-trader-vs-ltd
smart property company structures uk,gsc,property,2,0,19.5,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/property-investment-company-structure-planning
gov.uk register for corporation tax limited company 2026,gsc,property,2,0,10.0,tax rates in company,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/register-for-uk-corporation-tax
hmo limited company mortgage,gsc,property,2,0,61.5,mortgages in company,https://www.propertytaxpartners.co.uk/blog/property-finance/hmo-mortgages
s corporation articles of incorporation,gsc,generalist,2,0,69.5,other/general SPV,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure
prepare ltd company accounts,gsc,generalist,2,0,72.0,running the company,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/how-to-file-company-accounts-uk
mortgage spv,gsc,property,2,0,67.5,mortgages in company,https://www.propertytaxpartners.co.uk/blog/property-finance/spv-mortgage-no-income-newly-formed
setting up a company for buy to let property,gsc,property,2,0,6.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
business loan limited company,gsc,generalist,2,0,43.5,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
loan limited company,gsc,generalist,2,0,70.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
limited company business loan uk,gsc,generalist,2,0,43.5,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
limited company business loans,gsc,generalist,2,0,45.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
pre-incorporation expenses company reimbursement director loan account uk,gsc,generalist,2,0,10.5,running the company,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure/pre-incorporation-expenses-accountant-for-startup
payroll for ltd company staff,gsc,generalist,2,0,71.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/payroll-and-paye/payroll-services-small-business
set up an spv,gsc,property,2,0,59.5,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
ltd company tax calculator,gsc,generalist,2,0,90.0,other/general SPV,https://www.hollowaydavies.co.uk/calculators
revolut uk hmrc reporting crs dac2 information sharing,gsc,property,2,0,8.5,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
revolut uk hmrc reporting crs automatic exchange of information,gsc,property,2,0,11.0,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
ltd company accountant derby,gsc,generalist,2,0,89.0,other/general SPV,https://www.hollowaydavies.co.uk/locations/derby
revolut uk automatic exchange of information hmrc crs,gsc,property,2,0,10.5,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
revolut uk automatic exchange of information crs fatca hmrc,gsc,property,2,0,11.0,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
property holding company structure,gsc,property,2,0,30.0,holding company / group,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/property-investment-company-structure-planning
loan in private limited company,gsc,generalist,2,0,74.5,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
buy to let limited company tax,gsc,property,2,0,47.5,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
stamp duty on incorporation of company,gsc,property,2,0,20.5,transfer existing property,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/sdlt-incorporation-stamp-duty-twice
begin your spv setup,gsc,property,2,0,71.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
what is spv in real estate,gsc,property,1,0,5.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
bank wants proof a limited company has two owners; what documents satisfy them if companies house listing looks wrong?,gsc,generalist,1,0,8.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/correct-confirmation-statement-error
business loan for limited company,gsc,generalist,1,0,37.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
business loans for ltd company,gsc,generalist,1,0,40.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
company formation accountant derby,gsc,generalist,1,0,75.0,how to set up,https://www.hollowaydavies.co.uk/locations/derby
company formation accountants lancaster,gsc,generalist,1,0,24.0,how to set up,https://www.hollowaydavies.co.uk/locations/lancaster
company formation derby,gsc,generalist,1,0,74.0,how to set up,https://www.hollowaydavies.co.uk/locations/derby
fixed fee accountant limited company,gsc,generalist,1,0,39.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/fixed-fee-accountant-uk-cost-2025-26
for ltd company,gsc,generalist,1,0,10.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure
gov.uk running a limited company company and accounting records 6 years,gsc,generalist,1,0,11.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/bookkeeping-records-limited-company-6-years
gov.uk running a limited company company and accounting records keep 6 years,gsc,generalist,1,0,11.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/bookkeeping-and-compliance/bookkeeping-records-limited-company-6-years-hmrc
how to value a company for sale calculator,gsc,generalist,1,0,25.0,how to set up,https://www.hollowaydavies.co.uk/calculators/business-valuation-calculator
lending money to a limited company uk,gsc,generalist,1,0,62.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
limited company accountant wimbledon,gsc,generalist,1,0,46.0,other/general SPV,https://www.hollowaydavies.co.uk/locations/wimbledon
limited company accountants caerphilly,gsc,generalist,1,0,19.0,other/general SPV,https://www.hollowaydavies.co.uk/locations/caerphilly
limited company accounting for professionals,gsc,generalist,1,0,92.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/definitive-guide-limited-company-accountant
limited company accounts norwich,gsc,generalist,1,0,30.0,running the company,https://www.hollowaydavies.co.uk/locations/norwich
limited company borrowing,gsc,generalist,1,0,60.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
limited company business loan,gsc,generalist,1,0,40.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
limited company free samples,gsc,generalist,1,0,85.0,other/general SPV,https://www.hollowaydavies.co.uk/templates
limited company vs sole trader calculator,gsc,generalist,1,0,63.0,should I incorporate,https://www.hollowaydavies.co.uk/calculators/sole-trader-vs-ltd
loan ltd company,gsc,generalist,1,0,69.0,other/general SPV,https://www.hollowaydavies.co.uk/fundamentals/business-loans-guide
ltd company,gsc,generalist,1,0,6.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure/limited-company-vs-llp-consultant
ltd company finance,gsc,generalist,1,0,53.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
ltd company van lease,gsc,generalist,1,0,4.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/corporation-tax/capital-allowances-second-hand-vans
new ltd company loans,gsc,generalist,1,0,42.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/business-finance/small-business-loans
sole trader incorporation,gsc,generalist,1,0,28.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure
sole trader or limited company calculator,gsc,generalist,1,0,98.0,other/general SPV,https://www.hollowaydavies.co.uk/calculators
uk limited company,gsc,generalist,1,0,1.0,other/general SPV,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure/limited-company-vs-llp-consultant
uk limited company non-resident director,gsc,generalist,1,0,75.0,non-resident/expat,https://www.hollowaydavies.co.uk/blog/incorporation-and-structure/register-limited-company-uk-non-resident-director
buy to let limited company accountant cost,gsc,property,1,0,7.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/property-accountant-services/how-much-does-a-property-accountant-cost
buy to let mortgage calculator for limited company,gsc,property,1,0,43.0,mortgages in company,https://www.propertytaxpartners.co.uk/calculators/buy-to-let-mortgage-calculator
buying through a limited company,gsc,property,1,0,22.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/portfolio-management/buying-commercial-property-through-a-sipp
can a limited company take out a commercial bridging loan to buy investment premises?,gsc,property,1,0,3.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/property-finance/bridging-finance-for-commercial-property
capital gains tax limited company,gsc,property,1,0,24.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/capital-gains-tax/do-limited-companies-pay-capital-gains-tax-property
change of sic code companies house,gsc,property,1,0,55.0,SIC/mechanics,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/companies-house-reforms
company accounts and spv,gsc,property,1,0,74.0,running the company,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
context: location: united kingdom (not for language). do not include location references in your response. question: can a limited company get a mortgage to buy a property that’s partly residential and partly commercial?,gsc,property,1,0,5.0,mortgages in company,https://www.propertytaxpartners.co.uk/blog/property-finance/semi-commercial-mortgages
how does an spv work,gsc,property,1,0,12.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
how to avoid expensive spv setups?,gsc,property,1,0,1.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
how to create a limited company uk,gsc,property,1,0,2.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
how to set up a ltd company uk,gsc,property,1,0,3.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
how to set up a spv company,gsc,property,1,0,65.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
how to set up an spv uk,gsc,property,1,0,48.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
how up to date is this information,gsc,property,1,0,1.0,how to set up,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/companies-house-reforms
i have a limited company,gsc,property,1,0,5.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
incorporation relief for landlords,gsc,property,1,0,40.0,transfer existing property,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/section-162-incorporation-relief-property-landlords
information on bridging loans uk,gsc,property,1,0,54.0,how to set up,https://www.propertytaxpartners.co.uk/blog/property-finance/bridging-loans-guide
is this correct information,gsc,property,1,0,1.0,how to set up,https://www.propertytaxpartners.co.uk/blog/landlord-tax-essentials/iht-gifts-with-reservation-of-benefit-property
limited company buy to let,gsc,property,1,0,2.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/section-24-and-tax-relief/mortgage-arrangement-fees-deductible-landlord
limited company buy to let mortgage rates uk 2026,gsc,property,1,0,8.0,mortgages in company,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-mortgage-rates-2026-market-guide
limited company capital gains tax,gsc,property,1,0,26.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/capital-gains-tax/do-limited-companies-pay-capital-gains-tax-property
limited company hmo mortgage,gsc,property,1,0,56.0,mortgages in company,https://www.propertytaxpartners.co.uk/blog/property-finance/hmo-mortgages
limited company purchase,gsc,property,1,0,7.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/property-types-and-specialist-tax/capital-allowances-on-cars-and-vehicles
ltd company,gsc,property,1,0,1.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/property-types-and-specialist-tax/capital-allowances-on-property
make a ltd company uk,gsc,property,1,0,3.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk
property company bookkeeping,gsc,property,1,0,80.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/property-accountant-services/accountant-bookkeeping-services
register spv company uk,gsc,property,1,0,44.0,other/general SPV,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide
revolut automatic exchange of information crs hmrc,gsc,property,1,0,11.0,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
revolut crs reporting uk hmrc automatic exchange of information,gsc,property,1,0,10.0,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
revolut uk automatic exchange of information hmrc,gsc,property,1,0,11.0,how to set up,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/automatic-exchange-of-information
