keyword,vol,sources,domains,bucket,detail
mega yacht captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
salary of captain in ship,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
salary yacht captain,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ship captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ship's captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ships captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht captains salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how to get into yachting,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
seafarer tax,170,comp,1,assigned,P-SED maritime hub
seafarer taxation,170,comp,1,assigned,P-SED maritime hub
stewardess on a yacht salary,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
stewardess salary yacht,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
stewardess yacht salary,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht stewardess salary,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht stewardess salary,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting stewardess salary,170,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ofcom ship radio licence,140,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
ofcom ship radio license,140,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
ofcom ships radio licence,140,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
offshore yachtmaster,140,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
purser on a ship,140,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
rya yachtmaster offshore,140,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
superyacht recruitment agencies,140,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting recruitment agencies,140,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much tax do footballers pay,140,comp,1,assigned,P-FOOT tax-question set
how much tax does a footballer pay,140,comp,1,assigned,P-FOOT tax-question set
deckhand for yacht,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
deckhand on a yacht,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
deckhand on superyacht,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
deckhand yacht,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ofcom marine radio licence,110,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
seafarers medical,110,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
ship tax,110,comp,1,assigned,P-SED maritime hub
superyacht deckhand,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
what is a bosun on a ship,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
work on super yachts,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
work on superyacht,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
working on super yachts,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting crew agencies,110,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachtmaster qualifications,110,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
chef on yacht salary,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
engineer yacht,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do ship captains earn,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do yacht captains earn,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do yacht captains make,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does a yacht captain make,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does yacht captain make,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
medical certificate for seafarers,90,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
offshore accountants,90,comp,1,excluded,"EX-OFFNICHE offshore banking/OIG, not seafarer"
salary for yacht crew,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
salary of yacht crew,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
salary yacht crew,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
seafarer deduction,90,comp,1,assigned,P-SED maritime hub
seafarer medical certificate,90,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
seafarers deduction,90,comp,1,assigned,P-SED maritime hub
seafarers medical certificate,90,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
seafarers tax deduction,90,comp,1,assigned,P-SED maritime hub
superyacht crew salaries,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht crew salary,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht engineer,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
what defines a yacht,90,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
work on a mega yacht,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht chef salary,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht crew salaries,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht crew wages,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht engineer,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht stewardess pay,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting crew salary,90,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do footballers get taxed,90,comp,1,assigned,P-FOOT tax-question set
bosun ship,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
deckhand salary yacht,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
first mate on a ship,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
first mate ship,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how do i work on a yacht,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how long is a yacht season,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
how long is a yachting season,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
how to become a yacht captain,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
seafarer account,70,comp,1,excluded,EX-BRAND navigation (marineaccounts.com)
seafarer book,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
seafarer uk,70,comp,1,assigned,P-SED maritime hub
seafarers account,70,comp,1,excluded,EX-BRAND navigation (marineaccounts.com)
seafarers book,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
seafarers salary,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
ship radio license,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
ships radio licence,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
superyacht agencies,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht crew agency,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht deckhand salary,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
superyacht nurse jobs,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
uk seafarers,70,comp,1,assigned,P-SED maritime hub
what is a bosun on a yacht,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
what is a purser on a ship,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
what makes a yacht a yacht,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
yacht agencies,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht captain,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht captains,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht crew agency,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht crewing agency,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht deckhand pay,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht nurse job,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yacht nurse jobs,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting agencies,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting agency,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting deckhand salary,70,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachtmaster offshore requirements,70,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
how much do yacht crew make,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do yacht crews make,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
is a yacht a boat,50,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
offshore income gains,50,comp,1,excluded,"EX-OFFNICHE offshore banking/OIG, not seafarer"
seafarer allowance,50,comp,1,assigned,P-SED maritime hub
seafarer tax exemption uk,50,comp,1,assigned,P-SED maritime hub
seafarers allowance,50,comp,1,assigned,P-SED maritime hub
seafarers tax calculator uk,50,comp,1,assigned,P-SED maritime hub
superyacht captain,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
what classifies a boat as a yacht,50,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
what makes a boat a yacht,50,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
yacht season,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting season,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting seasons,50,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
sport accountant,50,comp,2,assigned,P-FOOT sports accountant heads
sports accountant,50,comp,2,assigned,P-FOOT sports accountant heads
sports accountants,50,comp,2,assigned,P-FOOT sports accountant heads
accounting software for architects,50,comp,1,assigned,P-ARC architects
architect accounting software,50,comp,1,assigned,P-ARC architects
seafarer tax uk,40,comp,1,assigned,P-SED maritime hub
seafarers tax uk,40,comp,1,assigned,P-SED maritime hub
yacht jobs pay,40,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting jobs pay,40,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting pay,40,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting salaries,40,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting salary,40,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
marine accounting,30,comp,1,assigned,P-SED maritime hub
mortgages for seafarers,10,comp,1,excluded,EX-OFFNICHE mortgage product
accountant for architects wimbledon,,gsc,0,assigned,P-ARC architects
accountants for architects and surveyors,,gsc+pool,0,assigned,"P-ARC architects (our GSC query on the seed; surveyor half is a fence note, property's ground for surveyor-only queries)"
architects accountant hammersmith,,gsc,0,assigned,P-ARC architects
ev chargers capital allowances,,bing,0,already-covered,"Bing 1 click, lands on generalist core capital-allowances page; business-CA slice is generalist core, landlord-EV slice is property's (row 85 split)"
